anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
Native_American	ASW	m	0.003	0.0030060120240481	15
European	ASW	m	0.175	0.175350701402806	15
African	ASW	m	0.321	0.321643286573146	15
Native_American	CLM	f	0.26	0.276008492569002	15
European	CLM	f	0.153	0.162420382165605	15
African	CLM	f	0.058	0.0615711252653928	15
Native_American	CLM	m	0	0	15
European	CLM	m	0.5	0.472589792060491	15
African	CLM	m	0.029	0.0274102079395085	15
Native_American	MXL	f	0.48	0.463320463320463	15
European	MXL	f	0	0	15
African	MXL	f	0.038	0.0366795366795367	15
Native_American	MXL	m	0.029	0.0300829875518672	15
European	MXL	m	0.451	0.467842323651452	15
African	MXL	m	0.002	0.0020746887966805	15
Native_American	PEL	f	0.5	0.487329434697856	15
European	PEL	f	0	0	15
African	PEL	f	0.013	0.0126705653021443	15
Native_American	PEL	m	0.291	0.299382716049383	15
European	PEL	m	0.188	0.193415637860082	15
African	PEL	m	0.007	0.00720164609053498	15
Native_American	PUR	f	0.127	0.143018018018018	15
European	PUR	f	0.237	0.266891891891892	15
African	PUR	f	0.08	0.0900900900900901	15
Native_American	PUR	m	0	0	15
European	PUR	m	0.5	0.449640287769784	15
African	PUR	m	0.056	0.0503597122302158	15
Native_American	ACB	f	0.005	0.00495049504950495	16
European	ACB	f	0	0	16
African	ACB	f	0.5	0.495049504950495	16
Native_American	ACB	m	0	0	16
European	ACB	m	0.122	0.123232323232323	16
African	ACB	m	0.373	0.376767676767677	16
Native_American	ASW	f	0.044	0.0509259259259259	16
European	ASW	f	0.075	0.0868055555555556	16
African	ASW	f	0.313	0.362268518518519	16
Native_American	ASW	m	0	0	16
European	ASW	m	0.153	0.134683098591549	16
African	ASW	m	0.415	0.365316901408451	16
Native_American	CLM	f	0.263	0.288377192982456	16
European	CLM	f	0.152	0.166666666666667	16
African	CLM	f	0.041	0.0449561403508772	16
Native_American	CLM	m	0	0	16
European	CLM	m	0.5	0.460405156537753	16
African	CLM	m	0.043	0.0395948434622468	16
Native_American	MXL	f	0.412	0.443010752688172	16
European	MXL	f	0.043	0.046236559139785	16
African	MXL	f	0.01	0.010752688172043	16
Native_American	MXL	m	0	0	16
European	MXL	m	0.5	0.467289719626168	16
