IID	sex	pop
HG01440	male	CLM
HG01445	male	CLM
HG01452	male	CLM
HG01483	female	CLM
HG01488	male	CLM
HG01490	female	CLM
HG01457	male	CLM
HG01464	male	CLM
HG01471	female	CLM
HG01565	male	PEL
HG01572	female	PEL
HG01495	female	CLM
HG01414	female	PUR
HG01433	male	CLM
HG01938	male	PEL
HG01940	female	PEL
HG01945	female	PEL
HG01921	female	PEL
HG01926	male	PEL
HG01933	female	PEL
HG01914	male	ACB
HG01919	female	PEL
HG01882	male	ACB
HG01887	male	ACB
HG01894	female	ACB
HG01952	male	PEL
HG02013	male	ACB
HG02107	male	ACB
HG02102	female	PEL
HG01983	female	PEL
HG01988	male	ACB
HG01990	male	ACB
HG01969	female	PEL
HG01971	female	PEL
HG01976	female	PEL
HG02051	male	ACB
HG01995	female	PEL
HG02006	female	PEL
HG02258	male	ACB
HG02260	female	PEL
HG02265	male	PEL
HG02272	female	PEL
HG02277	male	PEL
HG02284	male	ACB
HG02145	male	ACB
HG02253	male	PEL
HG02291	male	PEL
HG02501	male	ACB
HG02304	male	PEL
HG02309	female	ACB
HG02316	male	ACB
HG02323	male	ACB
HG02450	female	ACB
HG02455	male	ACB
HG02479	female	ACB
HG02481	male	ACB
HG02486	male	ACB
HG02330	male	ACB
HG02347	male	PEL
HG02429	male	ACB
HG02436	male	ACB
HG02549	female	ACB
HG02537	female	ACB
NA06984	male	CEU
NA06989	female	CEU
NA06991	female	CEU
NA11995	female	CEU
NA12006	female	CEU
NA12044	female	CEU
NA12056	male	CEU
NA11894	female	CEU
NA11919	male	CEU
NA11933	female	CEU
NA10865	male	CEU
NA11832	female	CEU
NA11882	female	CEU
NA10839	female	CEU
NA10846	male	CEU
NA07014	female	CEU
NA07019	female	CEU
NA07045	female	CEU
NA10853	male	CEU
NA10860	male	CEU
NA07348	female	CEU
NA12873	female	CEU
NA12878	female	CEU
NA12892	female	CEU
NA12145	female	CEU
NA12234	female	CEU
NA12239	female	CEU
NA12272	male	CEU
NA18504	male	YRI
NA18509	male	YRI
NA18511	female	YRI
NA18516	male	YRI
NA12828	female	CEU
NA12830	female	CEU
NA12842	male	CEU
NA12347	male	CEU
NA12400	female	CEU
NA12760	male	CEU
NA12777	male	CEU
NA12335	male	CEU
NA12342	male	CEU
NA12708	female	CEU
NA12739	male	CEU
NA12753	female	CEU
NA18484	female	YRI
NA18489	female	YRI
NA18852	female	YRI
NA18523	female	YRI
NA18915	male	YRI
NA18934	male	YRI
NA18869	male	YRI
NA18871	male	YRI
NA18876	female	YRI
NA18908	male	YRI
NA18910	male	YRI
NA18857	male	YRI
NA18864	female	YRI
NA19139	male	YRI
NA19141	male	YRI
NA19146	male	YRI
NA19095	female	YRI
NA19153	male	YRI
NA19160	male	YRI
NA19172	female	YRI
NA19103	male	YRI
NA19108	female	YRI
NA19115	female	YRI
NA19122	female	YRI
NA19127	female	YRI
NA19177	male	YRI
NA19184	male	YRI
NA19189	male	YRI
NA19191	male	YRI
NA19196	female	YRI
NA19223	male	YRI
NA19235	female	YRI
NA19247	female	YRI
NA19204	female	YRI
NA19209	female	YRI
NA19211	male	YRI
NA19254	female	YRI
NA19704	female	ASW
NA19711	male	ASW
NA19716	female	MXL
